"CASEID","SAMPLE_ID","SAMPLE_RACE","SAMPLE_SEX","AFQT-2","AGEATINT","CPSHRP","Q3-3","CPSHRP"
1,5,3,2,-4,22,-5,-5,-5
2,5,3,2,9,22,1098,-4,1098
3,5,3,2,46,-5,636,-4,82
4,5,3,2,48,18,1428,-5,-5
5,1,3,1,99,21,-5,-5,-5
6,1,3,1,99,20,1105,-4,1298
7,1,3,1,35,16,-4,-4,-4
8,6,3,2,42,22,777,-4,775
9,1,3,1,51,17,1090,-4,961
10,6,3,2,21,20,550,-4,685
11,1,3,1,81,21,3205,-4,2884
12,5,3,2,89,21,-5,-5,-5
13,1,3,1,85,22,1398,-4,1474
14,5,3,2,92,17,1298,-4,1486
15,1,3,1,69,16,-4,-4,960
16,5,3,2,57,22,1978,-4,1802
17,1,3,1,88,24,1000,-4,469
18,1,3,1,98,22,-4,-4,-4
19,5,3,2,-4,23,-4,-4,-4
20,5,3,2,63,21,1634,-4,1800
21,5,3,2,94,19,1495,-4,1223
22,5,3,2,84,18,745,-4,805
23,1,3,1,91,22,-5,18,1643
24,1,3,1,61,20,1282,-5,-5
25,5,3,2,57,21,1201,-4,1243
26,1,3,1,96,18,-4,-4,-4
27,5,3,2,97,20,-4,-4,-4
28,5,3,2,93,17,833,-4,1000
29,5,3,2,13,20,1087,-4,1068
30,5,3,2,9,22,-4,-4,-4
31,4,1,1,-4,17,805,-4,875
32,8,1,2,-4,23,-5,-5,-5
33,4,1,1,-4,-5,-5,12,-4
34,1,3,1,13,22,1560,-4,2173
35,5,3,2,44,17,1104,-4,1213
36,1,3,1,-4,18,1000,-4,1068
37,5,3,2,59,22,1009,-4,-4
38,5,3,2,13,18,1397,-4,1442
39,1,3,1,29,22,1123,-4,1236
40,2,3,1,38,21,1125,14,-4
41,2,3,1,54,18,1608,-4,1395
42,1,3,1,16,17,1300,-4,1100
43,6,3,2,13,19,425,-4,416
44,5,3,2,37,19,-4,-4,485
45,1,3,1,49,21,1538,-4,1636
46,5,3,2,63,18,1538,-4,1635
47,1,3,1,77,22,1500,-4,1500
48,2,3,1,32,-5,-5,-4,1500
49,5,3,2,66,23,1758,-4,1700
50,5,3,2,79,22,1200,-4,1199
51,1,3,1,-4,-5,-5,-5,-5
52,1,3,1,86,22,-5,-5,-5
53,4,1,1,41,17,-4,13,-4
54,1,3,1,-4,22,1250,-4,1400
55,1,3,1,-4,-5,-5,-5,-5
56,5,3,2,56,16,-5,-5,-5
57,5,3,2,38,22,862,-4,2200
58,5,3,2,87,24,1474,-4,1666
59,1,3,1,97,21,1346,-4,1394
60,1,3,1,75,19,2884,-4,-4
61,5,3,2,99,18,1075,14,1173
62,5,3,2,31,16,1143,-4,1143
63,1,3,1,91,21,-5,-5,-5
64,1,3,1,88,19,-5,-5,-5
65,5,3,2,71,17,-5,-5,-5
66,1,3,1,18,16,2800,-5,-5
67,1,3,1,99,23,5,-4,-4
68,5,3,2,99,18,1965,-4,2179
69,1,3,1,78,16,-5,-5,-5
70,1,3,1,-4,19,1155,-4,1000
71,1,3,1,99,17,2156,-4,3509
